DDA_pos,DDA_para,DDA_sec,DA_pos,DA_para,DA_sec,text_DDA,text_DA
Art10,2,6,Art10,2,5,"The names and contact details of all vetted researchers mentioned in the data access application may be disclosed where this is necessary to enable access to the data, in accordance with the access modalities specified in the reasoned request.","The Digital Services Coordinator of establishment may include in the reasoned request the names and contact details of all vetted researchers mentioned in the data access application where this is necessary to enable access to the requested data, in accordance with the access modalities specified in the reasoned request."
,,,Art10,3,6,,"If providing access involves a transfer of personal data to a third country or international organisation within the meaning of Chapter V of Regulation (EU) 2016/679, the reasoned request shall include information on the need to put in place or refer to an appropriate transfer mechanism to ensure compliance with Regulation (EU) 2016/679."
Art11,title,0,Art11,title,0,Publication of the overview of the reasoned request in the DSA data access portal,Publication of an overview of a reasoned request in the DSA data access portal
Art11,1,1,Art11,1,1,"Upon formulation of the reasoned request, the Digital Services Coordinator of establishment shall publish an overview of the reasoned request in the DSA data access portal. The overview shall contain:","Upon formulation of a reasoned request, the Digital Services Coordinator of establishment shall publish an overview of the reasoned request in the public interface of the DSA data access portal. The overview shall contain all the following:"
Art11,1(a),2,Art11,1(a),2,"the summary of the data access application referred to in Article 8, point (i);",the summary of the data access application referred to in Article 8 point (g);
Art11,1(b),3,Art11,1(b),3,the access modalities for the sharing of the data to the vetted researchers.,the access modalities determined pursuant to Article 9.
Art11,2,4,Art11,2,4,"Where necessary as a result of an amendment request or a dispute settlement procedure, the Digital Services Coordinator of establishment shall update the overview referred to in paragraph 1 accordingly.",The overview referred to in paragraph 1 shall be updated to reflect any changes resulting from a modification of one or more elements following the examination of an amendment request or the outcome of a mediation in accordance with Article 13.
Art12,title,0,Art12,title,0,Procedures for the handling of amendment requests,Procedures for examining amendment requests
Art12,1,1,Art12,1,1,"Upon the receipt of an amendment request, the Digital Services Coordinator of establishment shall inform the principal researcher concerned.","Upon the receipt of an amendment request pursuant to Article 40(5) of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment shall inform the principal researcher concerned."
Art12,2,2,Art12,2,2,"When deciding on an amendment request made pursuant to Article 40(5), point (a), of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment shall take into account whether:","When deciding on an amendment request made pursuant to Article 40(5), point (a), of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment shall take into account the following:"
Art12,2(a),3,Art12,2(a),3,the reasons for the inaccessibility are duly substantiated;,whether the reasons for the alleged lack of access to data are duly substantiated;
Art12,2(b),4,Art12,2(b),4,the lack of access is permanent or temporary.,whether that lack of access to data is permanent or temporary.
Art12,3,5,Art12,3,5,"When deciding on an amendment request made pursuant to Article 40(5), point (b), of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment shall take into account:","When deciding on an amendment request made pursuant to Article 40(5), point (b), of Regulation (EU) 2022/2065, the Digital Services Coordinator of establishment shall take into account all the following:"
Art12,3(a),6,Art12,3(a),6,whether the alleged vulnerability and its significance are duly substantiated;,whether the alleged vulnerabilities and their significance are duly substantiated;
Art12,3(b),7,Art12,3(b),7,the likelihood and severity of harm resulting from the alleged significant vulnerability;,the likelihood and severity of harm resulting from these alleged significant vulnerabilities;
Art12,3(c),8,Art12,3(c),8,the extent to which the access modalities set out in the reasoned request effectively mitigate the risk of such harm occurring.,the extent to which the access modalities set out in the reasoned request effectively mitigate the risk of such harm occurring.
Art12,4,9,Art12,4,9,"At any time during the assessment of an amendment request, the Digital Services Coordinator of establishment may ask the data provider to provide information needed to complete its assessment.","At any time during the assessment of an amendment request, the Digital Services Coordinator of establishment may ask the data provider or the principal researcher for any additional information that it considers necessary to complete its assessment."
Art12,5,10,Art12,5,10,"Where the Digital Services Coordinator of establishment concludes that the amendment request is duly justified, it shall assess whether any proposals for alternative access modalities to the requested data or any proposals for alternative data pursuant to Article 40(6) of Regulation (EU) 2022/2065 strike an appropriate balance between the data access requested and the vulnerabilities invoked in support of the amendment request. In assessing such proposals, the Digital Services Coordinator of establishment may consult the principal researcher to enquire about the suitability of any alternative proposals submitted by the data provider for attaining the objectives of the research project proposed in the data access application.","Such request for additional information shall be made as soon as possible to allow the data provider or the principal researcher sufficient time to respond and, in any event, shall not affect the deadline set in Article 40(6), second subparagraph of Regulation (EU) 2022/2065. Where the data provider or the principal researcher fails to provide the requested information at all or within a period specified by the Digital Services Coordinator of establishment or provides partial information, the Digital Services Coordinator of establishment shall make its decision within the timeframe laid down in Article 40(6) of Regulation (EU) 2022/2065, based on the information that was made available to it within a reasonable delay."
Art12,6,11,,,,"If the assessment of the amendment request leads to a modification of one or more elements in the reasoned request, the Digital Services Coordinator shall modify the reasoned request accordingly, transmit it to the data provider and, in parallel, notify the principal researcher and update the overview of the reasoned request in the DSA data access portal.",
Art13,title,0,Art13,title,0,"
Dispute settlement procedure",Mediation
Art13,1,1,Art13,1,1,"If the data provider disagrees with the decision of the Digital Services Coordinator of establishment following an amendment request, the data provider may ask the Digital Services Coordinator of establishment to participate in a mediation. The request for mediation shall include the identity and contact details of the proposed mediator.","If the data provider disagrees with the decision of the Digital Services Coordinator of establishment on the amendment request, the data provider may, within a period of five working days from the communication by the Digital Services Coordinator of establishment pursuant to Article 40(6), second subparagraph of Regulation (EU) 2022/2065, request in writing the Digital Services Coordinator of establishment to participate in mediation."
,,,Art13,2,2,,The Digital Services Coordinator of establishment shall not be obliged to participate in the mediation process.
,,,Art13,3,3,,"The written request referred to in paragraph 1, shall include a concise description of the specific elements of the decision, as communicated by the Digital Services Coordinator of establishment pursuant to Article 40(6), second subparagraph of Regulation (EU) 2022/2065, to which the data provider objects."
,,,Art13,4,4,,The Digital Services Coordinator of establishment and the data provider shall agree on the appointment of a mediator and initiate the mediation within 20 working days from the submission of the mediation request pursuant to paragraph 3.
Art13,2,2,,,,"The mediator shall be impartial and independent. The objective of the mediator shall be to help parties reach an agreement that:
(a) allows vetted researchers to access the data
(b) protects the rights and interests of the data provider and the vetted researchers.",
Art13,3,3,Art13,5,5,"The Digital Services Coordinator of establishment shall verify that the mediator proposed meets the requirements of impartiality and independence and has qualified and relevant experience in relation to the elements laid down in Article 40(5) of Regulation (EU) 2022/2065 and is able to act without undue delay. If the Digital Services Coordinator of establishment determines that the proposed mediator does not meet those requirements, it may ask the data provider to propose another mediator. When the Digital Services Coordinator of establishment has verified that the proposed mediator meets those requirements, it shall confirm the suitability of the mediator.","Before agreeing to the appointment of a mediator, the Digital Services Coordinator of establishment shall verify that the mediator is impartial and independent and possesses the relevant expertise related to the subject matter as described in the written request referred to in paragraph 1."
Art13,4,4,Art13,6,6,The data provider shall be solely responsible for covering the costs of the mediation.,The data provider shall bear all costs of the mediation.
Art13,5,5,Art13,7,7,"Where appropriate, the Digital Services Coordinator of establishment may invite the principal researcher to join the mediation as a party to help reach an agreement that supports the objectives of the research project in relation to which the data was requested.","The Digital Services Coordinator of establishment shall inform the principal researcher of the mediation request referred to in paragraph 1 without undue delay and may decide to invite the principal researcher to join the mediation as a party. Where the data access application has been submitted to the Digital Services Coordinator of the research organisation, the Digital Services Coordinator of establishment may invite the Digital Services Coordinator of the research organisation to participate in the mediation process. Any party invited to join the mediation by the Digital Services Coordinator of establishment shall not be obliged to participate in the mediation process."
Art13,6,6,Rec22,1,2,"The data provider, the Digital Services Coordinator of establishment and, where relevant, the principal researcher, shall act in good faith throughout the mediation.",All parties involved in the mediation process should engage in good faith and strive to reach a fair and mutually acceptable agreement.
Art13,7,7,Art13,8,8,"The participation in mediation shall not affect the rights of the parties to initiate judicial proceedings at any time before, during or after the mediation.","Participation in mediation shall not affect the right of the parties to initiate judicial proceedings at any time before, during or after the mediation."
Art13,8,8,Art13,9,9,"The Digital Services Coordinator of establishment may set a time limit for the mediation, which cannot exceed two months from the date on which the meditation process was started in accordance with paragraph 1. If no agreement has been reached within that time limit, the mediator shall declare the mediation closed.","The Digital Services Coordinator of establishment shall set a time limit for the mediation, which shall not exceed 40 working days starting on the day of the initiation of the mediation pursuant to paragraph 4."
Art13,9,9,Art13,10,10,The mediator may end the mediation earlier if,The mediator may terminate the mediation earlier in one of the following cases:
Art13,9(a),10,Art13,10(a),11,one of the parties requests it explicitly;,one of the parties requests explicitly to terminate the mediation;
Art13,9(b),11,Art13,10(b),12,it becomes clear that the parties’ conduct during the mediation makes it unlikely that an agreement will be reached.,"it becomes clear that the conduct of the parties during the mediation, including a failure to engage in good faith, makes it unlikely that an agreement will be reached"
Art13,10,12,Art13,13,15,"The Digital Services Coordinator of establishment shall register in AGORA a summary record of the mediation, prepared by the mediator and signed by all parties. The record shall include the following information:","The Digital Services Coordinator of establishment shall register in AGORA a summary record of the mediation, prepared by the mediator and signed by all parties. The record shall include the following information:"
Art13,10(a),13,Art13,13(a),16,the date of the request for mediation by the data provider;,the date of the written request for mediation by the data provider;
Art13,10(b),14,Art13,13(b),17,the identities and contact details of the participants;,the identities and contact details of the parties;
Art13,10(c),15,Art13,13(c),18,the start and end dates of the mediation;,the start and end dates of the mediation;
Art13,10(d),16,Art13,13(d),19,"the outcome of the mediation, including any agreement reached or the reason for termination of the mediation.","the outcome of the mediation, including any agreement reached or the reason for termination of the mediation."
Art13,11,17,Art13,11,13,"Where the mediation leads to an agreement resulting in granting access to the data on terms that are different to those specified in the reasoned request, the Digital Services Coordinator of establishment shall amend the reasoned request to reflect that agreement.","Where the mediation results in an agreement between the parties, the Digital Services Coordinator of establishment shall take such agreement into account and, where appropriate, modify the reasoned request and inform the principal researcher of the modification."
,,,Art13,12,14,,"Where the parties fail to reach an agreement, the Digital Services Coordinator of establishment shall notify the data provider that the decision of the Digital Services Coordinator of establishment on the amendment request, as last communicated pursuant to Article 40(6), second subparagraph of Regulation (EU) 2022/2065, shall be considered valid and shall serve as the relevant basis for further steps in the process and inform the principal researcher."
Art14,title,0,Art14,title,0,Independent advisory mechanisms,Independent expert consultation
Art14,1,1,Art14,1,1,"Before formulating a reasoned request, or taking a decision on an amendment request, the Digital Services Coordinator may decide to consult experts.","Before formulating a reasoned request, or taking a decision on an amendment request, the Digital Services Coordinator may decide to consult experts."
Art14,2,2,Art14,2,2,"The experts shall:
(a)  be independent and impartial;
(b) possess relevant expertise and proven skills and have the capacity and resources to perform the identified task, without incurring undue delay.","The experts shall be independent and impartial and possess relevant expertise and proven skills and have the capacity and resources to perform the identified task, without incurring undue delay."
Art14,3,3,Art14,3,3,"To attest impartiality, the experts shall sign a declaration confirming that they:","To attest impartiality, the experts shall sign a declaration confirming that they:"
Art14,3(a),4,Art14,3(a),4,have no financial or personal ties to the data provider or the applicant researchers;,have no financial or personal ties to the data provider or the applicant researchers;
Art14,3(b),5,Art14,3(b),5,have no interest in the outcome of the data access process;,have no interest in the outcome of the data access process;
Art14,3(c),6,Art14,3(c),6,are free from any conflicts of interest.,are free from any conflicts of interest.
Art14,4,7,Art14,4,7,"The Digital Services Coordinator shall encode any consultation carried out pursuant to paragraph 1, along with the expert opinion received in response to the consultation, without undue delay in AGORA.","The Digital Services Coordinator shall encode any consultation carried out pursuant to paragraph 1, along with the expert opinion received in response to the consultation, without undue delay in AGORA."
Art14,5,8,,,,"Prior to initiating new consultations, the Digital Services Coordinators are encouraged to refer to previous outcomes.",
Art15,title,0,Art15,title,0,Data format and data documentation,Data sharing and data documentation
Art15,1,1,Art15,1,1,Data providers shall notify the Digital Services Coordinator of establishment within 24 hours:,Data providers shall notify the Digital Services Coordinator of establishment within three working days of the fact:
Art15,1(a),2,Art15,1(a),2,"that the vetted researchers have access to the data requested, in accordance with the access modalities specified in the reasoned request;","that access to the requested data has been provided to vetted researchers, in accordance with the reasoned request;"
Art15,1(b),3,Art15,1(b),3,that the access for the vetted researchers is terminated.,that the access for the vetted researchers has been terminated.
Art15,2,,Art15,2,4,"Data providers shall provide vetted researchers with relevant documentation related to the data requested. In cases where the provision of such documentation results in a significant vulnerability, the data provider shall notify the Digital Services Coordinator of establishment and, where possible, propose alternative documentation.","Data providers shall provide vetted researchers with any additional information needed to access and understand the requested data, such as codebooks, changelogs and architectural documentation. In cases where the provision of such information may result in a significant vulnerability of the data provider’s services, the data provider shall notify the Digital Services Coordinator of establishment of that risk and, where possible, propose alternative information."
Art15,3,,Art15,3,5,"When providing access to data, data providers shall not impose archiving, storage, refresh and deletion requirements that hinder the research referred to in the reasoned request in any way.","When providing access to data, data providers shall not impose on vetted researchers data management requirements such as archiving, storage, refresh and deletion requirements,"
Art15,4,,Art15,3,6,"Data providers shall be allowed to limit vetted researchers’ use of standard analytical tools, including relevant software libraries, for the analysis of the data requested, only if it is specified in the reasoned request.","or limitations to the use of standard analytical tools, that may hinder the performance of the relevant research, unless such requirements or limitations are explicitly mentioned in the reasoned request."
,,,Art15,4,7,,"Where personal data are processed, data providers shall not impose on vetted researchers any conditions in relation to the processing of the shared personal data other than those specified in the reasoned request."
Art16,title,0,Art16,title,0,Entry into force,Entry into force
Art16,1,1,Art16,1,1,"This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.
This Regulation shall be binding in its entirety and directly applicable in all Member States.","This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union.
This Regulation shall be binding in its entirety and directly applicable in all Member States."
